id,word_freq,match,average_length,cluster_name
1219,"[('sprayers', 1)]",['sprayers'],1.0,sprayers
1220,"[('tocebal', 1), ('toceba', 1)]","['tocebal', 'toceba']",1.0,tocebal
1221,"[('les', 3), ('lab', 1), ('labs', 1), ('laboratories', 1)]",['les'],2.0,les lab
1222,"[('rashnik', 1)]",['rashnik'],1.0,rashnik
1223,"[('karatina', 1)]",['karatina'],1.0,karatina
1224,"[('mbaazi', 1)]",['mbaazi'],1.0,mbaazi
1225,"[('suzhou', 3), ('greenleaf', 1), ('ltd', 1)]",['suzhou'],2.0,suzhou greenleaf
1226,"[('city', 2), ('price', 2), ('ent', 1), ('enterprise', 1)]",['city price'],3.0,city price ent
1227,"[('firm', 1)]","['firm', 'frm']",1.0,firm
1228,"[('famas', 3), ('dairy', 1), ('ltd', 1), ('famas.', 1), ('fama', 1)]","['famas', 'famas.', 'fama']",1.0,famas
1229,"[('coast', 4), ('cable', 1), ('painters', 1), ('cables', 1)]",['coast'],2.0,coast cable
1230,"[('philmed', 2), ('philamed', 1), ('philimed', 1), ('pharm', 1)]","['philamed', 'philmed', 'philimed']",1.0,philmed
1231,"[('ireland', 1)]",['ireland'],1.0,ireland
1232,"[('flute', 1)]",['flute'],1.0,flute
1233,"[('harsoria', 2), ('healthcare', 1)]",['harsoria'],2.0,harsoria healthcare
1234,"[('yetu', 1), ('feeds', 1)]",['yetu'],2.0,yetu feeds
1235,"[('abuu', 1), ('rumaysha', 1), ('traders', 1)]",['abuu rumaysha'],3.0,abuu rumaysha traders
1236,"[('farmann', 1)]",['farmann'],1.0,farmann
1237,"[('m.i', 2), ('seeds.', 1)]",['m.i'],2.0,m.i seeds.
1238,"[('ivee', 1), ('aqua', 1)]",['ivee'],2.0,ivee aqua
1239,"[('baya', 2), ('vet', 1)]",['baya'],2.0,baya vet
1240,"[('mucoka', 1)]",['mucoka'],1.0,mucoka
1241,"[('alc', 1)]","['alc', 'alco']",1.0,alc
1242,"[('prestige', 3), ('broad', 3), ('provisions', 1), ('provision', 1), ('ltd', 1)]",['prestige broad'],3.0,prestige broad provisions
1243,"[('dr.', 3), ('meinaier', 1), ('yorkie', 1), ('rashel', 1)]",['dr.'],2.0,dr. meinaier
1244,"[('ooo', 1), ('oooo', 1)]","['ooo', 'oooo']",1.0,ooo
